cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
46,1.517918676,0.63829782,1.566666795,1.520726821,1.421879578,1.336566803,93.5,45.54,0.8531276767,-14.68723233
47,1.520726821,0.637135018,1.569526037,1.523479455,1.42445329,1.338986093,93.5,46.53,0.8531149282,-14.68850718
48,1.523479455,0.635999006,1.572329501,1.526178823,1.4269772,1.341358568,93.5,47.52,0.8531027157,-14.68972843
49,1.526178823,0.634888622,1.575079416,1.528827038,1.429453281,1.343686084,93.5,48.51,0.8530910061,-14.69089939
50,1.528827038,0.633802775,1.577777882,1.531426086,1.43188339,1.345970387,93.5,49.5,0.8530797664,-14.69202336
51,1.531426086,0.632740446,1.580426866,1.533977838,1.434269279,1.348213122,93.5,50.49,0.8530689722,-14.69310278
52,1.533977838,0.631700672,1.583028235,1.53648406,1.436612596,1.350415841,93.5,51.48,0.853058594,-14.6941406
53,1.53648406,0.630682553,1.585583738,1.538946419,1.438914901,1.352580007,93.5,52.47,0.8530486122,-14.69513878
54,1.538946419,0.629685236,1.58809504,1.541366489,1.441177667,1.354707007,93.5,53.46,0.8530390015,-14.69609985
55,1.541366489,0.628707919,1.59056371,1.543745762,1.443402288,1.35679815,93.5,54.45,0.8530297417,-14.69702583
56,1.543745762,0.627749847,1.592991229,1.546085651,1.445590084,1.358854679,93.5,55.44,0.8530208167,-14.69791833
57,1.546085651,0.626810302,1.595379011,1.548387495,1.447742308,1.360877769,93.5,56.43,0.8530122057,-14.69877943
58,1.548387495,0.625888608,1.597728393,1.550652565,1.449860149,1.36286854,93.5,57.42,0.8530038932,-14.69961068
59,1.550652565,0.624984124,1.600040644,1.55288207,1.451944735,1.364828051,93.5,58.41,0.852995864,-14.7004136
60,1.55288207,0.624096243,1.602316968,1.555077157,1.453997141,1.366757313,93.5,59.4,0.8529881041,-14.70118959
61,1.555077157,0.623224389,1.604558515,1.557238919,1.456018389,1.368657286,93.5,60.39,0.8529806007,-14.70193993
62,1.557238919,0.622368014,1.606766379,1.559368397,1.458009452,1.370528884,93.5,61.38,0.85297334,-14.702666
63,1.559368397,0.621526599,1.608941599,1.561466585,1.459971257,1.372372981,93.5,62.37,0.8529663115,-14.70336885
64,1.561466585,0.620699649,1.611085171,1.563534427,1.461904689,1.374190408,93.5,63.36,0.8529595037,-14.70404963
65,1.563534427,0.619886694,1.61319804,1.565572828,1.463810594,1.375981958,93.5,64.35,0.8529529071,-14.70470929
66,1.565572828,0.619087285,1.615281115,1.567582651,1.465689779,1.377748392,93.5,65.34,0.8529465113,-14.70534887
67,1.567582651,0.618300994,1.617335262,1.569564722,1.467543015,1.379490434,93.5,66.33,0.8529403064,-14.70596936
68,1.569564722,0.617527415,1.619361304,1.571519829,1.46937104,1.381208778,93.5,67.32,0.8529342863,-14.70657137
69,1.571519829,0.616766157,1.621360038,1.57344873,1.471174563,1.382904089,93.5,68.31,0.8529284405,-14.70715595
70,1.57344873,0.616016849,1.623332222,1.575352149,1.472954259,1.384577003,93.5,69.3,0.8529227628,-14.70772372
71,1.575352149,0.615279136,1.625278579,1.577230778,1.474710778,1.386228131,93.5,70.29,0.8529172467,-14.70827533
72,1.577230778,0.614552676,1.627199814,1.579085285,1.476444742,1.387858057,93.5,71.28,0.8529118829,-14.70881171
73,1.579085285,0.613837146,1.629096588,1.580916308,1.478156748,1.389467343,93.5,72.27,0.8529066684,-14.70933316
74,1.580916308,0.613132232,1.630969549,1.582724461,1.479847371,1.391056528,93.5,73.26,0.8529015941,-14.70984059
75,1.582724461,0.612437637,1.63281931,1.584510332,1.481517161,1.392626131,93.5,74.25,0.8528966569,-14.71033431
