sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
104,0.568972045,0.940000001,1.757777422,1.652310776,1.858050541,396.2
105,0.568900241,0.94,1.757999813,1.652519824,1.858050541,395.25
106,0.568828274,0.940000001,1.758222768,1.652729402,1.858050541,394.3
107,0.568756143,0.940000001,1.758446289,1.652939512,1.858050541,393.35
108,0.568683846,0.94,1.758670381,1.653150158,1.858050541,392.4
109,0.568611384,0.940000001,1.758895045,1.653361342,1.858050541,391.45
110,0.568538755,0.940000001,1.759120285,1.653573067,1.858050541,390.5
111,0.568465959,0.940000001,1.759346102,1.653785336,1.858050541,389.55
112,0.568392994,0.94,1.759572501,1.653998151,1.858050541,388.6
113,0.568319861,0.940000001,1.759799484,1.654211515,1.858050541,387.65
114,0.568246558,0.940000001,1.760027054,1.654425431,1.858050541,386.7
115,0.568173084,0.940000001,1.760255214,1.654639902,1.858050541,385.75
116,0.568099439,0.940000001,1.760483968,1.654854929,1.858050541,384.8
117,0.568025621,0.94,1.760713317,1.655070518,1.858050541,383.85
118,0.567951631,0.940000001,1.760943265,1.655286669,1.858050541,382.9
119,0.567877466,0.940000001,1.761173815,1.655503386,1.858050541,381.95
120,0.567803127,0.940000001,1.761404971,1.655720672,1.858050541,381
121,0.567728612,0.940000001,1.761636734,1.65593853,1.858050541,380.05
122,0.567653921,0.940000001,1.76186911,1.656156963,1.858050541,379.1
123,0.567579052,0.940000001,1.7621021,1.656375974,1.858050541,378.15
124,0.567504005,0.94,1.762335707,1.656595565,1.858050541,377.2
125,0.567428779,0.94,1.762569936,1.65681574,1.858050541,376.25
126,0.567353374,0.940000001,1.762804788,1.657036501,1.858050541,375.3
127,0.567277787,0.940000001,1.763040269,1.657257853,1.858050541,374.35
128,0.567202019,0.940000001,1.76327638,1.657479797,1.858050541,373.4
129,0.567126068,0.940000001,1.763513125,1.657702337,1.858050541,372.45
130,0.567049933,0.940000001,1.763750507,1.657925476,1.858050541,371.5
131,0.566973614,0.940000001,1.76398853,1.658149218,1.858050541,370.55
132,0.56689711,0.940000001,1.764227197,1.658373565,1.858050541,369.6
133,0.566820419,0.94,1.764466512,1.658598521,1.858050541,368.65
134,0.566743541,0.94,1.764706477,1.658824088,1.858050541,367.7
135,0.566666475,0.94,1.764947097,1.659050271,1.858050541,366.75
136,0.56658922,0.940000001,1.765188375,1.659277072,1.858050541,365.8
137,0.566511775,0.940000001,1.765430314,1.659504495,1.858050541,364.8500001
138,0.566434139,0.940000001,1.765672918,1.659732543,1.858050541,363.9000001
139,0.56635631,0.94,1.765916191,1.659961219,1.858050541,362.9500001
140,0.566278289,0.940000001,1.766160136,1.660190527,1.858050541,362.0000001
141,0.566200074,0.940000001,1.766404756,1.660420471,1.858050541,361.0500001
142,0.566121664,0.940000001,1.766650056,1.660651053,1.858050541,360.1000001
143,0.566043057,0.94,1.766896039,1.660882277,1.858050541,359.1500001
144,0.565964254,0.94,1.767142709,1.661114146,1.858050541,358.2000001
145,0.565885253,0.94,1.767390069,1.661346665,1.858050541,357.2500001
146,0.565806053,0.940000001,1.767638124,1.661579837,1.858050541,356.3000001
147,0.565726653,0.940000001,1.767886877,1.661813664,1.858050541,355.3500001
148,0.565647051,0.94,1.768136332,1.662048152,1.858050541,354.4000001
149,0.565567248,0.940000001,1.768386493,1.662283303,1.858050541,353.4500001
150,0.565487241,0.94,1.768637363,1.662519121,1.858050541,352.5000001
151,0.56540703,0.94,1.768888947,1.66275561,1.858050541,351.5500001
152,0.565326614,0.940000001,1.769141249,1.662992774,1.858050541,350.6000001
153,0.565245991,0.94,1.769394273,1.663230617,1.858050541,349.6500001
154,0.565165161,0.940000001,1.769648022,1.663469141,1.858050541,348.7000001
155,0.565084122,0.94,1.769902501,1.663708351,1.858050541,347.7500001
156,0.565002874,0.940000001,1.770157714,1.663948252,1.858050541,346.8000001
157,0.564921414,0.940000001,1.770413666,1.664188846,1.858050541,345.8500001
